code,name,price,exchange,amount
600331,宏达股份,8.20,3.09亿,166.62亿
600332,白云山,28.89,1.95亿,406.16亿
600333,长春燃气,6.15,4.17亿,37.46亿
600335,国机汽车,6.43,1.47亿,96.18亿
600336,澳柯玛,7.50,2.91亿,59.85亿
600337,美克家居,1.92,6124.85万,27.59亿
600338,西藏珠峰,13.03,16.67亿,119.12亿
600339,中油工程,3.58,1.96亿,199.88亿
600340,华夏幸福,2.49,9.95亿,96.94亿
600343,航天动力,10.65,2.37亿,67.97亿
600345,长江通信,25.98,6.87亿,51.44亿
600346,恒力石化,14.93,3.17亿,1050.94亿
600348,华阳股份,7.64,2.37亿,275.61亿
600350,山东高速,9.25,3.03亿,448.82亿
600351,亚宝药业,6.15,9487.40万,44.28亿
600352,浙江龙盛,10.13,2.10亿,329.56亿
600353,旭光电子,8.02,3.62亿,66.47亿
600354,敦煌种业,5.92,1.67亿,31.25亿
600355,精伦电子,4.55,1.81亿,22.39亿
600356,恒丰纸业,7.52,3202.99万,22.46亿
600358,国旅联合,3.85,5978.97万,19.44亿
600359,新农开发,6.59,5159.05万,25.14亿
600361,创新新材,4.14,1.42亿,69.01亿
600362,江西铜业,21.80,3.68亿,452.40亿
600363,联创光电,48.19,17.85亿,219.37亿
600366,宁波韵升,7.36,1.63亿,78.24亿
600367,红星发展,11.44,6854.32万,36.83亿
600368,五洲交通,3.78,7418.53万,60.84亿
600369,西南证券,4.80,3.66亿,303.13亿
600370,三房巷,1.92,5233.65万,74.81亿
600371,万向德农,8.90,6796.09万,26.04亿
600372,中航机载,12.80,5.76亿,608.87亿
600373,中文传媒,12.80,3.34亿,173.45亿
600376,首开股份,2.80,1.02亿,72.23亿
600377,宁沪高速,13.31,3.38亿,506.07亿
600378,昊华科技,32.08,7220.97万,292.14亿
600379,宝光股份,10.01,5087.22万,33.05亿
600380,健康元,11.47,2.49亿,214.97亿
600382,广东明珠,4.22,2831.84万,29.30亿
600383,金地集团,5.27,8.84亿,237.92亿
600386,北巴传媒,4.18,7568.19万,33.71亿
600388,龙净环保,11.71,1.88亿,136.31亿
600389,江山股份,15.00,7461.51万,64.60亿
600390,五矿资本,7.43,12.18亿,334.21亿
600391,航发科技,19.12,2.33亿,63.12亿
600392,盛和资源,11.56,6.05亿,202.63亿
600395,盘江股份,5.46,7553.49万,117.21亿
600396,华电辽能,2.68,9580.29万,39.47亿
600397,安源煤业,2.51,6126.83万,24.85亿
600398,海澜之家,6.06,3.51亿,291.05亿
600399,抚顺特钢,6.95,4.60亿,137.06亿
600400,红豆股份,2.77,2.70亿,63.47亿
600403,大有能源,3.19,4129.16万,76.27亿
600405,动力源,4.31,5289.36万,23.85亿
600406,国电南瑞,26.21,6.86亿,2092.73亿
600408,安泰集团,2.07,4712.72万,20.84亿
600409,三友化工,5.54,1.14亿,114.36亿
600410,华胜天成,5.72,2.18亿,62.72亿
600415,小商品城,11.51,7.20亿,629.62亿
600416,湘电股份,13.91,5.51亿,184.36亿
600418,江淮汽车,40.20,68.78亿,877.97亿
600419,天润乳业,9.50,7033.73万,30.42亿
600420,国药现代,12.28,2.04亿,164.70亿
600421,华嵘控股,12.97,2.21亿,25.37亿
600422,昆药集团,14.95,1.40亿,113.17亿
600423,柳化股份,2.85,3496.79万,22.76亿
600425,青松建化,3.99,1.66亿,55.01亿
600426,XD华鲁恒,22.64,3.73亿,478.99亿
600428,中远海特,7.06,3.39亿,151.55亿
600429,三元股份,4.27,2557.18万,63.95亿
600433,冠豪高新,3.21,3869.18万,56.18亿
600435,北方导航,10.91,3.35亿,163.93亿
600436,片仔癀,244.59,4.54亿,1475.65亿
600438,通威股份,26.55,28.94亿,1195.28亿
600439,瑞贝卡,3.79,2.78亿,42.90亿
600444,国机通用,16.40,7135.49万,24.01亿
600446,金证股份,16.24,6.73亿,153.68亿
600448,华纺股份,2.73,4389.04万,17.19亿
600449,宁夏建材,13.95,2.05亿,66.71亿
600452,涪陵电力,10.57,1.96亿,162.41亿
600455,博通股份,22.16,6193.15万,13.84亿
600456,宝钛股份,30.54,2.27亿,145.91亿
600458,时代新材,12.82,1.08亿,102.92亿
600459,贵研铂业,14.16,1.62亿,105.88亿
600460,士兰微,29.78,24.45亿,495.56亿
600461,洪城环境,9.61,1.26亿,113.97亿
600463,空港股份,12.27,1.01亿,36.81亿
600467,好当家,2.27,1.41亿,33.16亿
600468,百利电气,4.72,9727.87万,51.34亿
600469,风神股份,6.38,5945.83万,46.54亿
600470,六国化工,4.94,5433.35万,25.77亿
600475,华光环能,9.27,6460.07万,87.36亿
600476,湘邮科技,16.31,1.16亿,26.27亿
600477,杭萧钢构,2.83,8473.71万,67.04亿
600478,科力远,4.51,1.44亿,75.12亿
600479,千金药业,10.73,4932.14万,44.91亿
600480,凌云股份,9.55,1.53亿,87.57亿
600481,双良节能,5.96,5.05亿,111.49亿
600482,中国动力,23.19,8.02亿,522.06亿
600483,福能股份,9.56,2.29亿,255.97亿
600486,扬农化工,57.26,9882.64万,230.68亿
600487,亨通光电,17.42,6.27亿,429.71亿
600488,津药药业,4.28,3707.40万,46.73亿
600489,中金黄金,12.57,10.72亿,609.31亿
600490,鹏欣资源,3.10,1.24亿,61.77亿
600491,龙元建设,4.17,2.08亿,63.79亿
600493,凤竹纺织,5.30,4478.76万,14.42亿
600495,晋西车轴,3.91,6695.89万,47.24亿
600496,精工钢构,3.03,8000.09万,60.99亿
600497,驰宏锌锗,5.95,5.63亿,302.93亿
600498,烽火通信,18.78,5.88亿,215.84亿
600499,科达制造,8.33,1.91亿,159.76亿
600500,中化国际,4.32,1.68亿,154.95亿
600501,航天晨光,19.84,4.01亿,84.24亿
600502,安徽建工,4.91,1.22亿,84.28亿
600503,华丽家族,2.37,9319.54万,37.97亿
600505,西昌电力,10.69,1.75亿,38.97亿
600506,统一股份,13.80,2.46亿,20.38亿
600507,方大特钢,4.19,7668.83万,96.92亿
600508,上海能源,13.32,7407.15万,96.27亿
600509,天富能源,6.63,3.19亿,91.43亿
600510,黑牡丹,4.75,7440.30万,49.02亿
600511,国药股份,34.26,3.31亿,189.58亿
600512,腾达建设,2.36,5049.91万,37.46亿
600513,联环药业,10.30,1.32亿,29.40亿
600515,海南机场,3.94,5.16亿,361.53亿
600516,方大炭素,5.21,1.62亿,209.75亿
600517,国网英大,5.69,1.77亿,325.38亿
600518,康美药业,2.36,22.39亿,321.27亿
600519,贵州茅台,1559.00,52.95亿,19584.12亿
600520,文一科技,38.18,10.36亿,60.49亿
600521,华海药业,17.91,2.42亿,262.70亿
600522,中天科技,16.27,9.06亿,555.29亿
600523,贵航股份,12.50,9861.64万,50.51亿
600525,长园集团,5.73,1.12亿,75.08亿
600526,菲达环保,4.73,5006.19万,33.66亿
600527,江南高纤,1.92,8211.62万,33.25亿
600528,中铁工业,8.37,1.41亿,185.94亿
600529,山东药玻,25.63,2.91亿,170.08亿
600530,交大昂立,3.55,6519.99万,27.51亿
600531,豫光金铅,6.79,1.52亿,74.03亿
600533,栖霞建设,2.41,3808.35万,25.30亿
600535,天士力,14.98,2.07亿,223.79亿
600536,中国软件,57.66,69.22亿,486.05亿
600537,亿晶光电,3.32,1.53亿,39.30亿
600538,国发股份,4.88,1.65亿,25.58亿
600539,狮头股份,7.23,1.20亿,16.63亿
600540,新赛股份,4.06,3313.20万,23.60亿
600543,莫高股份,5.96,7283.53万,19.14亿
600545,卓郎智能,1.95,6537.06万,34.86亿
600546,山煤国际,13.16,2.27亿,260.89亿
600547,山东黄金,24.84,7.42亿,897.83亿
600548,深高速,10.74,7240.53万,153.93亿
600549,厦门钨业,20.83,4.81亿,294.67亿
600550,保变电气,9.20,8.68亿,169.42亿
600551,时代出版,8.77,1.24亿,59.47亿
600552,凯盛科技,12.95,5.79亿,122.33亿
600556,天下秀,4.85,2.95亿,87.68亿
600557,康缘药业,14.91,1.67亿,86.25亿
600558,大西洋,4.00,6503.53万,35.90亿
600559,老白干酒,21.85,5.38亿,197.58亿
600560,金自天正,14.73,8247.98万,32.94亿
600561,江西长运,5.50,3668.95万,15.65亿
600562,国睿科技,18.32,3.33亿,226.07亿
600563,法拉电子,125.00,4.17亿,281.25亿
600566,济川药业,30.03,2.17亿,275.00亿
600567,山鹰国际,1.82,2.95亿,97.54亿
600569,安阳钢铁,1.87,5783.27万,53.71亿
600570,恒生电子,29.82,29.29亿,564.83亿
600571,信雅达,13.88,12.75亿,63.54亿
600572,康恩贝,4.69,1.67亿,120.22亿
600573,惠泉啤酒,10.39,4428.92万,25.98亿
600575,淮河能源,3.56,9929.00万,138.35亿
600576,祥源文旅,6.15,1.11亿,40.61亿
600577,精达股份,5.25,3.72亿,110.71亿
600578,京能电力,3.69,1.18亿,247.03亿
600579,克劳斯,6.97,1.36亿,34.48亿
600580,卧龙电驱,14.50,6.74亿,188.88亿
600581,八一钢铁,3.35,1.04亿,51.35亿
600582,天地科技,6.13,4.09亿,253.70亿
600583,海油工程,5.48,1.86亿,242.29亿
600584,长电科技,43.19,48.27亿,772.85亿
600585,海螺水泥,25.67,3.88亿,1026.72亿
600586,金晶科技,5.86,1.86亿,83.73亿
600587,新华医疗,18.03,2.09亿,108.55亿
600588,用友网络,13.00,10.44亿,444.21亿
600589,广东榕泰,4.27,1.47亿,63.13亿
600590,泰豪科技,5.13,6714.55万,43.28亿
600592,龙溪股份,10.08,8418.86万,40.27亿
600593,大连圣亚,27.32,2.77亿,35.19亿
600594,益佰制药,3.87,5301.95万,30.65亿
600595,中孚实业,3.14,2.81亿,125.85亿
600596,新安股份,8.26,1.05亿,106.80亿
600597,光明乳业,8.58,1.20亿,118.27亿
600598,北大荒,14.64,2.61亿,260.25亿
600600,青岛啤酒,73.35,4.35亿,520.07亿
600601,方正科技,3.81,4.18亿,158.89亿
600602,云赛智联,16.00,10.70亿,171.89亿
600604,市北高新,4.77,1.61亿,67.14亿
600605,汇通能源,37.46,2.33亿,77.27亿
600606,绿地控股,2.25,3.84亿,316.22亿
600609,金杯汽车,7.32,11.34亿,95.98亿
600610,中毅达,5.05,9351.19万,35.79亿
600611,大众交通,9.46,27.31亿,147.89亿
600612,老凤祥,51.14,1.15亿,162.17亿
600613,神奇制药,6.94,8490.94万,33.26亿
600615,丰华股份,11.26,5562.86万,21.13亿
600616,金枫酒业,5.74,1.89亿,38.40亿
600617,国新能源,2.90,7160.99万,51.49亿
600618,氯碱化工,9.31,4968.93万,69.81亿
600619,海立股份,14.92,27.01亿,117.74亿
600620,天宸股份,5.55,4113.02万,38.11亿
600621,华鑫股份,15.55,5.41亿,164.97亿
600622,光大嘉宝,3.98,5.33亿,59.69亿
600623,华谊集团,6.89,1.59亿,128.62亿
600624,复旦复华,5.14,1.78亿,35.19亿
600626,申达股份,4.11,2.32亿,35.03亿
600628,新世界,6.95,5209.78万,44.96亿
600629,华建集团,9.58,18.64亿,90.50亿
600630,龙头股份,9.92,3.44亿,42.15亿
600633,浙数文化,11.08,3.00亿,140.24亿
600635,大众公用,4.28,4.30亿,103.52亿
600636,国新文化,10.81,1.87亿,47.42亿
600637,东方明珠,8.36,3.70亿,281.05亿
600638,新黄浦,5.10,6184.97万,34.34亿
600639,浦东金桥,11.14,1.44亿,94.72亿
600640,国脉文化,13.53,3.90亿,107.66亿
600641,万业企业,17.89,4.98亿,166.49亿
600642,申能股份,8.18,2.08亿,399.11亿
600643,爱建集团,5.70,1.25亿,90.65亿
600644,乐山电力,6.46,8377.87万,34.78亿
600645,中源协和,20.91,2.27亿,97.81亿
600648,外高桥,11.49,7455.10万,107.41亿
600649,城投控股,4.92,2.38亿,124.46亿
600650,锦江在线,16.38,6.47亿,63.97亿
600651,飞乐音响,5.02,4.03亿,125.85亿
600653,申华控股,2.21,2.24亿,43.02亿
600654,中安科,4.71,22.91亿,108.20亿
600655,豫园股份,5.96,1.05亿,231.61亿
600657,信达地产,4.90,3.79亿,139.74亿
600658,电子城,4.58,1.49亿,51.23亿
600660,福耀玻璃,57.38,8.05亿,1149.31亿
600661,昂立教育,13.68,1.68亿,39.20亿
600662,外服控股,5.30,5650.53万,119.95亿
600663,陆家嘴,10.60,8078.04万,310.95亿
600664,哈药股份,3.91,1.92亿,98.47亿
600665,天地源,3.13,6870.64万,27.05亿
600666,奥瑞德,2.68,4.35亿,64.85亿
600667,太极实业,8.09,10.23亿,170.39亿
600668,尖峰集团,10.12,2451.92万,34.82亿
600673,东阳光,8.29,2.56亿,248.83亿
600674,川投能源,16.67,4.01亿,812.60亿
600675,中华企业,2.94,1.19亿,177.76亿
600676,交运股份,5.01,3.21亿,51.53亿
600678,四川金顶,7.27,1.68亿,25.37亿
600679,上海凤凰,11.33,1.00亿,38.32亿
600681,百川能源,3.52,3670.52万,47.16亿
600682,南京新百,6.49,8255.25万,75.61亿
600683,京投发展,4.22,7668.22万,31.26亿
600684,珠江股份,3.49,5012.57万,29.79亿
600685,中船防务,25.56,3.95亿,209.96亿
600686,金龙汽车,12.76,5.91亿,91.50亿
600688,上海石化,2.98,8795.20万,218.40亿
600689,上海三毛,9.45,5841.83万,14.38亿
600690,海尔智家,29.59,14.88亿,1850.71亿
600691,阳煤化工,2.28,5262.32万,54.16亿
600692,亚通股份,8.40,2.25亿,21.42亿
600693,东百集团,3.42,2430.55万,29.72亿
600694,大商股份,18.85,6292.00万,59.01亿
600696,岩石股份,15.23,1.96亿,50.94亿
600697,欧亚集团,12.15,2622.47万,18.88亿
600698,湖南天雁,5.26,1.58亿,43.68亿
600699,均胜电子,16.77,4.23亿,229.43亿
600702,舍得酒业,76.47,11.83亿,254.09亿
600703,三安光电,13.50,11.44亿,673.52亿
600704,物产中大,5.22,4.03亿,269.02亿
600705,中航产融,4.27,12.36亿,375.95亿
600706,曲江文旅,9.97,7283.54万,25.33亿
600707,彩虹股份,7.51,3.71亿,269.43亿
600708,光明地产,3.05,2.07亿,67.87亿
600710,苏美达,8.96,1.43亿,117.08亿
600712,南宁百货,6.10,1.30亿,32.86亿
600713,南京医药,5.02,6397.31万,52.55亿
600714,金瑞矿业,8.99,4678.83万,25.91亿
600716,凤凰股份,3.28,5732.49万,30.70亿
600717,天津港,5.03,2.77亿,145.57亿
600718,东软集团,10.67,2.28亿,128.44亿
600719,大连热电,7.32,1.69亿,29.62亿
600720,中交设计,9.56,1.17亿,74.20亿
600721,百花医药,7.21,1.75亿,27.62亿
600722,金牛化工,4.55,4141.91万,30.95亿
600724,宁波富达,5.16,1.37亿,74.56亿
600725,云维股份,3.09,5670.84万,38.08亿
600726,华电能源,2.31,9984.16万,63.46亿
600727,鲁北化工,7.86,2.42亿,41.54亿
600728,佳都科技,4.87,2.21亿,104.35亿
600729,重庆百货,25.98,1.32亿,48.95亿
600730,中国高科,6.69,1.99亿,39.25亿
600731,湖南海利,5.89,6005.11万,32.87亿
600732,爱旭股份,15.10,13.60亿,241.16亿
600733,北汽蓝谷,8.77,28.03亿,427.18亿
600734,实达集团,3.88,14.95亿,82.49亿
600735,新华锦,4.63,5342.21万,19.70亿
600736,苏州高新,5.53,3.44亿,63.67亿
600737,中粮糖业,9.77,2.78亿,208.97亿
